"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"47","@MrMecc @MrMecc That looks delicious! On a scale of 1-10, how tasty was your #dinner?",FALSE,0,"MrMecc",2017-12-07 19:00:40,FALSE,"938622837178298368","938845732664168448","17958254","<a href=""http://www.mainstreethub.com/consultation/?source=twitter_post_tool"" rel=""nofollow"">Main Street Hub</a>","LayalyCafeNY",0,FALSE,FALSE,NA,NA
"48","https://t.co/SKl8coA4Yf
#Pasta is always a fan favorite for #lunch or #dinner!  Try our #chicken and #broccoli #recipe!",FALSE,0,NA,2017-12-07 17:50:55,FALSE,NA,"938828181393551360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GoHealthyRoot",0,FALSE,FALSE,NA,NA
"49","Love Romano's Macaroni Grill? Get $50 Free Lyft ride credit to get there free. Use Lyft Promo Code: NUMB #munch #food #takeout #dinner",FALSE,0,NA,2017-12-07 16:14:26,FALSE,NA,"938803900290879488",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","SpunkyHotDeals",0,FALSE,FALSE,NA,NA
"50","The Savor Health Holiday dinner was underway last evening!  What a treat to get everyone in the same room, enjoying… https://t.co/TNAVHn5xBI",FALSE,0,NA,2017-12-07 15:51:50,TRUE,NA,"938798214039384064",NA,"<a href=""http://coschedule.com"" rel=""nofollow"">CoSchedule</a>","savor_health",0,FALSE,FALSE,NA,NA
"51","Struggling for #dinner tonight? We may have the perfect recipe for you #ThursdayThoughts https://t.co/pQfuB1Wa4T https://t.co/CDWcF3IbP9",FALSE,0,NA,2017-12-07 15:25:18,FALSE,NA,"938791536619376641",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Top_Supplement",0,FALSE,FALSE,NA,NA
"52","Love The Melting Pot? Get $50 Free Lyft ride credit to get there free. Use Lyft Code: OATH #munch #food #takeout #dinner",FALSE,0,NA,2017-12-07 13:46:32,FALSE,NA,"938766681157054464",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","SpunkyHotDeals",0,FALSE,FALSE,NA,NA
"53","RT @alroker: For #dinner #tonight I made #grilled #salmon with #chimichurri roasted #cauliflower with #smoked #paprika and #sauteed #zucchi…",FALSE,0,NA,2017-12-07 13:30:55,FALSE,NA,"938762749622054912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","derivativestech",38,TRUE,FALSE,NA,NA
"54","RT @alroker: For #dinner #tonight I made #grilled #salmon with #chimichurri roasted #cauliflower with #smoked #paprika and #sauteed #zucchi…",FALSE,0,NA,2017-12-07 13:21:16,FALSE,NA,"938760319979130883",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FrancisEdwin14",38,TRUE,FALSE,NA,NA
"55","RT @SpunkyHotDeals: Love East of Chicago Pizza? Get there free w/ Lyft! $50 Free Lyft credit. Use Lyft Coupon Code: DEX #dinner #food #rest…",FALSE,0,NA,2017-12-07 09:19:07,FALSE,NA,"938699379963252736",NA,"<a href=""https://github.com/molly/twitterbot_framework"" rel=""nofollow"">City Food Bot</a>","cityfoodbot",1,TRUE,FALSE,NA,NA
"56","Love East of Chicago Pizza? Get there free w/ Lyft! $50 Free Lyft credit. Use Lyft Coupon Code: DEX #dinner #food #restaurant #date",FALSE,0,NA,2017-12-07 06:06:24,FALSE,NA,"938650881771364352",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","SpunkyHotDeals",1,FALSE,FALSE,NA,NA
"57","Hold my calls...
#Bruh #DontEvenTalkToMe #ImFINENow #Dinner #Winner #FoodPorn #FatBoyJoy… https://t.co/5awlWk3VbK",FALSE,0,NA,2017-12-07 04:14:57,FALSE,NA,"938622837178298368",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MrMecc",0,FALSE,FALSE,"-74.0064","40.7142"
"58","the 2 end pieces that are left, peanut butter, pumpkin pear jam, and homemade caramel #dinner #roommateisadessertchef",FALSE,0,NA,2017-12-07 03:54:08,FALSE,NA,"938617596190093312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","savvyg",0,FALSE,FALSE,NA,NA
